datetime,platform,username,candidate_name,text,comment_count,view_count,like_count,url,num_interaction
2024-07-01 00:00:22,facebook,Marco Antonio Mares G,Claudia Sheinbaum,"La presidenta electa, Claudia Sheinbaum, pidió calma a los trabajadores del Poder Judicial, luego de que amagaran con un paro nacional",0,0,4,https://www.facebook.com/100057697616010/posts/926238489309396,8
2024-07-01 00:08:54,facebook,El CACAS está Amloco.,Claudia Sheinbaum,"🛑 Las señales van por encima de los mensajes cuando López Obrador sigue siendo el presidente de la República, pero, insisto, el mensaje habla de otro estilo de gobernar, más allá del pendenciero de hoy 🎙️ Lee y escucha la columna de Joaquín López-Dóriga https://mile.io/4biUXT2:=:https://www.milenio.com/opinion/joaquin-lopez-doriga/en-privado/gabinete-otro-personal-estilo-de-gobernar",7,0,14,https://www.facebook.com/100044720100981/posts/1023255319175129,27
2024-07-01 00:09:45,facebook,VENTAS QUERETARO,Claudia Sheinbaum,"EL PODER DE LA GRATITUD. Por Zaky Mori.
Servicio del Domingo 30 de Junio del 2024.

Zaky Mori/Pastor/Entrenador de Vida/ Canta autor/Escritor/ Fundador del movimiento cristiano en expansión Aliento de Vida y Gracia.

***Disponiblidad para agendar en tu localidad, dentro y fuera del país***

AGRADECIMIENTOS
Para @Todos y todas por seguirnos y por compartir con alguien que este en un hospital, en la cárcel, en su casa enfermo o con una grande necesidad.

CONFERENCIAS PARA UNA ACTITUD DE FE CORRECTA

No estas sola/o, hemos ayudado a muchas personas a salir adelante y a cumplir sus objetivos y tú no serás la excepción.

IGLESIA ESCUELA DE FORMACIÓN Y DESARROLLO ESPIRITUAL Y PROFESIONAL.
Aliento de Vida y Gracia
Alabanzas inéditas y Conferencias todos los 
Domingos 11 am
Villa Benito Juárez, Macuspana, Tabasco, México.
18:00 España
13:00 Cuba

✓ Sé parte de la familia Aliento de Vida.
Te inspiraremos, te motivaremos, te enseñaremos técnicas, te impartiremos unción, te impulsaremos para que desarrolles todo tu potencial, alcances tus metas y cumplas tus sueños.

✓ Queremos oir tus testimonios de como estas enseñanzas han ayudado.

✓ Eres bienvenida/o a ser alguien importante en nuestro ministerio.
Para hacer posible cosas mayores agradezco tu donativo. Contacto: zakymoris@gmail.com

#Predicas
#predicascortas 
#mensajes
#uncion
#excellenceineducation 
#enseñanzas
#oraciones
#sanidad
#salvación
#reportajes
#TV
#Biblia
#Mesias 
#Reportajes
#AMLOELMEJORPRESIDENTE 
#ClaudiaSheinbaum",0,0,0,https://www.facebook.com/groups/772819906149122/permalink/7653443198086724,0
2024-07-01 00:10:34,facebook,COMPRA Y VENTA GUADALAJARA JALISCO,Claudia Sheinbaum,"EL PODER DE LA GRATITUD. Por Zaky Mori.
Servicio del Domingo 30 de Junio del 2024.

Zaky Mori/Pastor/Entrenador de Vida/ Canta autor/Escritor/ Fundador del movimiento cristiano en expansión Aliento de Vida y Gracia.

***Disponiblidad para agendar en tu localidad, dentro y fuera del país***

AGRADECIMIENTOS
Para @Todos y todas por seguirnos y por compartir con alguien que este en un hospital, en la cárcel, en su casa enfermo o con una grande necesidad.

CONFERENCIAS PARA UNA ACTITUD DE FE CORRECTA

No estas sola/o, hemos ayudado a muchas personas a salir adelante y a cumplir sus objetivos y tú no serás la excepción.

IGLESIA ESCUELA DE FORMACIÓN Y DESARROLLO ESPIRITUAL Y PROFESIONAL.
Aliento de Vida y Gracia
Alabanzas inéditas y Conferencias todos los 
Domingos 11 am
Villa Benito Juárez, Macuspana, Tabasco, México.
18:00 España
13:00 Cuba

✓ Sé parte de la familia Aliento de Vida.
Te inspiraremos, te motivaremos, te enseñaremos técnicas, te impartiremos unción, te impulsaremos para que desarrolles todo tu potencial, alcances tus metas y cumplas tus sueños.

✓ Queremos oir tus testimonios de como estas enseñanzas han ayudado.

✓ Eres bienvenida/o a ser alguien importante en nuestro ministerio.
Para hacer posible cosas mayores agradezco tu donativo. Contacto: zakymoris@gmail.com

#Predicas
#predicascortas 
#mensajes
#uncion
#excellenceineducation 
#enseñanzas
#oraciones
#sanidad
#salvación
#reportajes
#TV
#Biblia
#Mesias 
#Reportajes
#AMLOELMEJORPRESIDENTE 
#ClaudiaSheinbaum",0,0,0,https://www.facebook.com/groups/326888290833179/permalink/2497431967112123,0
2024-07-01 00:16:09,facebook,Tj Comunica,Claudia Sheinbaum,"Morena festeja este 1 de julio los 6 años del triunfo del Presidente Andrés Manuel López Obrador El festejo 6 Aniversario del triunfo del presidente será este lunes 1 de julio a las 10:00 horas en el Complejo Cultural Los Pinos, el cual será encabezado por López Obrador en compañía de la Presidenta electa Claudia Sheinbaum y la Jefa de gobierno Clara Brugada.",2,0,31,https://www.facebook.com/100090936761559/posts/420391107668778,80
2024-07-01 00:24:54,facebook,JLM Noticias,Claudia Sheinbaum,"#México | El presidente, Andrés Manuel López Obrador, y la virtual presidente electa, Claudia Sheinbaum, anuncian el fin de su gira por el sureste mexicano. 📷 Visita nuestra página web: http://www.jlmnoticias.com:=:https://jlmnoticias.com/ #JLMNoticias #JoséLuisMorales #NiMásNiMenos #Aguascalientes #Ags #Noticias #Viral #AMLO #ClaudiaSheinbaum #sureste",0,0,1,https://www.facebook.com/100044310615463/posts/1025488758938135,3
2024-07-01 00:28:01,facebook,Si Eres De Catemaco (OFICIAL)....,Claudia Sheinbaum,#claudiasheinbaum #xóchitlgálvez #jorgemáynez #debateine #debatepresidencial2024 #sinapsisocial,0,0,0,https://www.facebook.com/groups/540821647523220/permalink/997579085180805,0
2024-07-01 00:29:55,facebook,QUE ME VENDES MANZANILLO,Claudia Sheinbaum,#noticiasméxico #sinbozalmx #noticias #mariodelgado #diputados #claudiasheinbaum #sergiomayer #morena #elecciones2024 #prian #política,0,0,0,https://www.facebook.com/groups/1583850048554237/permalink/3726789747593579,0
2024-07-01 00:29:59,facebook,"CASAS EN RENTA Y VENTA "" MANZANILLO"" COLIMA Y TECOMAN",Claudia Sheinbaum,#noticiasméxico #sinbozalmx #noticias #mariodelgado #diputados #claudiasheinbaum #sergiomayer #morena #elecciones2024 #prian #política,0,0,0,https://www.facebook.com/groups/1460406647514854/permalink/3954036611485166,0
2024-07-01 00:30:04,facebook,VENTAS GDL GUADALAJARA ZAPOPAN,Claudia Sheinbaum,"EL PODER DE LA GRATITUD. Por Zaky Mori.
Servicio del Domingo 30 de Junio del 2024.

Zaky Mori/Pastor/Entrenador de Vida/ Canta autor/Escritor/ Fundador del movimiento cristiano en expansión Aliento de Vida y Gracia.

***Disponiblidad para agendar en tu localidad, dentro y fuera del país***

AGRADECIMIENTOS
Para @Todos y todas por seguirnos y por compartir con alguien que este en un hospital, en la cárcel, en su casa enfermo o con una grande necesidad.

CONFERENCIAS PARA UNA ACTITUD DE FE CORRECTA

No estas sola/o, hemos ayudado a muchas personas a salir adelante y a cumplir sus objetivos y tú no serás la excepción.

IGLESIA ESCUELA DE FORMACIÓN Y DESARROLLO ESPIRITUAL Y PROFESIONAL.
Aliento de Vida y Gracia
Alabanzas inéditas y Conferencias todos los 
Domingos 11 am
Villa Benito Juárez, Macuspana, Tabasco, México.
18:00 España
13:00 Cuba

✓ Sé parte de la familia Aliento de Vida.
Te inspiraremos, te motivaremos, te enseñaremos técnicas, te impartiremos unción, te impulsaremos para que desarrolles todo tu potencial, alcances tus metas y cumplas tus sueños.

✓ Queremos oir tus testimonios de como estas enseñanzas han ayudado.

✓ Eres bienvenida/o a ser alguien importante en nuestro ministerio.
Para hacer posible cosas mayores agradezco tu donativo. Contacto: zakymoris@gmail.com

#Predicas
#predicascortas 
#mensajes
#uncion
#excellenceineducation 
#enseñanzas
#oraciones
#sanidad
#salvación
#reportajes
#TV
#Biblia
#Mesias 
#Reportajes
#AMLOELMEJORPRESIDENTE 
#ClaudiaSheinbaum",0,0,0,https://www.facebook.com/groups/359612010832009/permalink/7446297775496695,0
