datetime,platform,username,candidate_name,text,comment_count,view_count,like_count,url,num_interaction
2024-04-01 00:00:15,instagram,Vertiche Oficial,Jorge Álvarez Máynez,"¡Nuevos sacos! 🧥 Renueva tu estilo en www.vertiche.mx ✨ ¡y ahorra 20% al comprar $2,000 o más! 🤩 

#MujerVertiche #moda #fashion #shopping #outfitideas #temporada #lonuevo",0,0,0,https://www.instagram.com/p/C5Mq2WctOCj/,62
2024-04-01 00:00:39,instagram,REFORMA,Claudia Sheinbaum,"Claudia Sheinbaum criticó a la oposición por el uso ilegal del logotipo del INE en una propuesta de campaña para frenar el uso electoral de programas sociales. 

En el arranque de campaña del candidato Alejandro Armenta al Gobierno de Puebla, Sheinbaum recordó que fueron los opositores quienes dijeron ""El INE no se toca"". 

Cono qué más dijo la candidata presidencial sobre la propuesta que planteó Xóchitl Gálvez en el link de la bío. 

📷 Carlos Seoane 

#EntérateEnREFORMA #ClaudiaSheinbaum #XochitlGalvez #ine #campaña #oposición #voto24",0,0,0,https://www.instagram.com/p/C5Mq5TsNcjv/,855
2024-04-01 00:07:27,instagram,WETTING DAY - Surf&SkateShop,Jorge Álvarez Máynez,"🤘🏽DC SHOES COURT GRAFFIK🤘🏽

RE INGRES💣 - Disponibles del 35 al 40

Parte superior en cuero, nobuk y/o ante
Lengüeta y cuello acolchados con espuma para mayor confort y sujeción
Construcción cupsole
Orificios de ventilación para mayor transpirabilidad
Lengüeta ligera de malla
Dibujo Pill Pattern de marca registrada por DC
Dibujo Pill Pattern de marca registrada por DC

YA DISPONIBLES EN NUESTRO SHOP ONLINE 📺

ABRIMOS DE 10 A 20hs DE LUNES A SÁBADOS Y CONTAMOS CON ENVIOS A TODO EL PAÍS 🛵.⁣⁣⁣⁣
⁣⁣⁣⁣⁣A traves de nuestra tienda en Mercado Libre http://wettingday.mercardoshops.com.ar 

Tambien podes hablarnos a MD📩 y hacenos tu pedido📲⁣.⁣⁣⁣⁣

⁣⁣⁣⁣Respondemos tus dudas por WP al 1154292714
⁣⁣⁣⁣⁣
#VillaDelParque #MercadoPago #MercadoLibre #skateshop #devoto #wettingday #enviosatodoelpais #eshop #skateshopargentina #surfshop #skateshop #courtgraffik #dcclassics #zapasanchas #comodidad #unclasico #lonuevo #newin #dcshoes #dcshoesargentina #skatevibes #nuevosingresos #dcshoesshop #zapatillasmujer #zapatillasniños",0,0,0,https://www.instagram.com/p/C5MrrKpMzq0/,19
2024-04-01 00:08:00,instagram,Metal SV,Jorge Álvarez Máynez,"#LoNuevo #Nacional La banda salvadoreña de Ska-Punk, @aveciega , han lanzado su nuevo material discográfico y hablamos de su nuevo EP titulado “Skalokeando” el cual ya se encuentra disponible en Bandcamp🎷🎸🇸🇻

Una banda que ha tomado mucho terreno en los últimos años la escena nacional y este año han comenzado muy activos dando excelentes presentaciones llevándose el aplauso de todos en todas sus presentaciones💯💯💯

🔵Bandcamp: https://aveciega.bandcamp.com/album/skalokeando-ep",0,0,0,https://www.instagram.com/p/C5MrvExt847/,16
2024-04-01 00:17:52,instagram,'@CitlaHM,Claudia Sheinbaum,"Un gusto acompañar el arranque de campaña de @gabyosoriohdez en #Tlalpan, cuna de la esperanza y pilar de la continuidad de la #4T, pues nuestra próxima presidenta @Claudiashein es un orgullo tlalpense. 

Junto con nuestra próxima Jefa de Gobierno @clara_brugada_m y nuestra Senadora @ernestinagodoyr_ , así como demás candidatos, acompañamos a Gaby, uno de los mejores cuadros jóvenes de nuestro movimiento.

Hay relevo generacional y Tlalpan tendrá una alcaldesa 24/7 ❤️‍🔥🫶🏽",0,0,0,https://www.instagram.com/p/C5Ms3cwriv1/,260
2024-04-01 00:21:38,instagram,ReporTV MX,Claudia Sheinbaum,"#Nacional 🇲🇽 #Rumbo2024 🗳️| La candidata a la Presidencia de México por la coalición “Sigamos Haciendo Historia”, Claudia Sheinbaum , resaltó que la oposición está desesperada e intenta engañar usando ilegalmente el logotipo del Instituto Nacional Electoral (INE) para decir que no están en contra de los programas sociales; sin embargo, el pueblo de México ya no les cree, por ello llamó al candidato de Morena, PT y PVEM a la gubernatura de Puebla, Alejandro Armenta, a hacer equipo y consolidar la Cuarta Transformación en dicha entidad. 🚨

📰Más información: https://tinyurl.com/5c2c2us5",0,0,0,https://www.instagram.com/p/C5MtTBIMeOo/,0
2024-04-01 00:30:22,instagram,Ma. Sara Rocha Medina,Xóchitl Gálvez,"Salvemos el turismo con el programa propuesto por nuestro partido #MéxicoViajaLibre
#ElPRIsíResuelve 

@pri_nacional @xochitlgalvez @alitomorenoc",0,0,0,https://www.instagram.com/p/C5MuTAqOB0s/,5
2024-04-01 00:38:06,instagram,Monona Public Library,Xóchitl Gálvez,"This April there are three new Online Author Talks to enjoy! Register to watch live, or find past videos here: libraryc.org/mymononalibrary",0,0,0,https://www.instagram.com/p/C5MvLofvFsr/,0
2024-04-01 00:45:14,instagram,Político MX,Claudia Sheinbaum,"""Vamos a combatir y vamos a derrotar al proyecto de corrupción que representa el partido del cártel inmobiliario”; @clara_brugada_m destacó la unidad dentro de Morena en el inicio de campaña de los candidatos a las 16 alcaldías de la capital. 

Desde el Hemiciclo a Juárez, la aspirante destacó que la Cuarta Transformación está más unida y más fuerte que nunca, pero dijo que la consolidación tiene que pasar por el corazón de la Ciudad de México y las 16 alcaldías, así como por todas las candidaturas, encabezadas por @claudia_shein.

#clarabrugada #claudiasheinbaum #cdmx #alcaldias #morena #4t #eleccionescdmx #elecciones2024 #politicomx",0,0,0,https://www.instagram.com/p/C5Mv_41RL_q/,216
2024-04-01 01:07:38,instagram,Lauren,Xóchitl Gálvez,"🎉March Wrap Up🎉

What a month!! I was able to read 13 books this month! (NOT PICTURED: THE HOUSE ON BISCAYNE BAY) I read 3 awesome books for #TransRightsReadathon , 6 amazing Latinx titles, some ARCs, and some book tours! Phew!! Looking forward to more great books in April! 

📚What was your favorite read of March?

#MarchWrapUp #MarchBooks
#MarchReads #MonthlyWrapUp #Bookstagram #BookRecommendations #BookCommunity #Bibliophile #DiverseBooks #BIPOCBookstagram #ReadersOfInstagram #BookVibes",0,0,0,https://www.instagram.com/p/C5Myj8SLxqg/,303
