datetime,platform,username,candidate_name,text,comment_count,view_count,like_count,url,num_interaction
2024-07-01 00:16:10,instagram,Tj Comunica,Claudia Sheinbaum,"Morena festeja este 1 de julio los 6 años del triunfo del Presidente Andrés Manuel López Obrador

El festejo 6 Aniversario del triunfo del presidente será este lunes 1 de julio a las 10:00 horas en el Complejo Cultural Los Pinos, el cual será encabezado por López Obrador en compañía de la Presidenta electa Claudia Sheinbaum y la Jefa de gobierno Clara Brugada.

@lopezobrador @claudia_shein",0,0,81,https://www.instagram.com/p/C83BAmktn0O/,81
2024-07-01 01:10:16,instagram,Diario Portal,Claudia Sheinbaum,"#ClaudiaSheinbaum | #AMLO | #Gobierno 

👥 | Al concluir la gira de #supervisión al #Tren #Maya emprendida por la virtual presidenta de #México, Claudia Sheinbaum, el mandatario en funciones, Andrés Manuel López Obrador  destacó la inédita transición de poder al considerarla #ordenada y #fraterna.

☝️| Al respecto, el #sábado pasado la doctora #Sheinbaum calificó como #satisfactoria la gira de trabajo por el sureste #mexicano.",1,0,2,https://www.instagram.com/p/C83HM0CNaWL/,3
2024-07-01 03:27:31,instagram,🇲🇽 AMLO LA FUERZA DE MÉXICO♥️,Xóchitl Gálvez,,0,0,12,https://www.instagram.com/p/C83W6HVNBue/,12
2024-07-01 04:00:28,instagram,Earth.Org,Claudia Sheinbaum,"Claudia Sheinbaum: Climate Champion or Fossil Fuel Friend?⁠
⁠
Claudia Sheinbaum, Mexico's newly elected president, comes into office with an impressive scientific background, having contributed to IPCC reports and served as an environmental minister. However, her long-standing alliance with the fossil fuel-friendly predecessor Andrés Manuel López Obrador raises concerns about her true commitment to climate action. ⁠
⁠
As Mexico grapples with severe drought, heatwaves, and rising emissions, the stakes are high for Sheinbaum to translate her scientific expertise into tangible climate policies that address the country's pressing environmental challenges. The world watches closely to see if Sheinbaum will emerge as a true climate champion or remain entangled in the political landscape that favors fossil fuel interests.⁠
⁠
Photo 1&3: © Wikimedia Commons⁠
Photo 2&4: © Flickr⁠
⁠
⁠-⁠
⁠
👉🏻 Read the FULL ARTICLE in our LINK IN BIO⁠
👉🏻 Follow @earthorg for your daily environmental news!⁠
👉🏻 Support our work. Visit: earth.org/donations⁠
.⁠
.⁠
.⁠
#earthorg #ClimateChampion #FossilFuelFriend #MexicoPolitics #SciencetoPolicy #ClimateAction #DroughtandHeatwaves #EmissionsReduction #IPCCExpert #SustainableTransition #ClimateLeadership #EnvironmentalJustice #GlobalClimateCrisis #ClaudiaSheinbaum",3,0,61,https://www.instagram.com/p/C83arBZtY_G/,64
2024-07-01 13:00:25,instagram,El Mercurio de Tamaulipas,Claudia Sheinbaum,"#Buendia Inicia bien la semana ✔️leyendo la portada de hoy 📰 y checa la información que #ElMercurio de #Tamaulipas tiene en exclusiva para ti 

Descarga📲 nuestra app para #iOS y #Android 

#FelizLunesATodos #Tampico #Madero #Matamoros #Reynosa #NuevoLaredo #CdVictoria #Mexico",0,0,2,https://www.instagram.com/p/C84YeHxP3Xl/,2
2024-07-01 14:40:10,instagram,Milenio Jalisco,Claudia Sheinbaum,"01.07.2024  Buenos días, consulta la portada de este lunes
#PeriodismoConCarácter #Noticias #MediosDeComunicación #Información #MilenioJalisco",0,0,1,https://www.instagram.com/p/C84j4wjOBTB/,1
2024-07-01 15:27:03,instagram,RTN MEDIOS,Claudia Sheinbaum,"Así va el gabinete de la presidenta electa, @claudia_shein. 

¿Qué opinas?",0,0,2,https://www.instagram.com/p/C84pQKhJ0QV/,2
2024-07-01 15:30:45,instagram,Xochitl Chips & Salsas,Xóchitl Gálvez,"Add a burst of flavor to your grocery list with these irresistible Xochitl chips and salsa options.

#xochitl #xochitlchipsandsalsa #chipsandsalsa",0,0,1,https://www.instagram.com/p/C84pqycRsGh/,1
2024-07-01 17:41:08,instagram,Noticias Café Negro,Claudia Sheinbaum,"🟤 Al cumplirse este 1 de julio 6 años del triunfo del presidente Andrés Manuel López Obrador en las elecciones de 2018, Morena y la virtual presidenta electa, Claudia Sheinbaum, recordaron esta fecha.

Morena expresó que hace 6 años, “millones de mexicanas y mexicanos a lo largo de todo el país, salieron a votar por nuestro presidente, López Obrador”.

“El pueblo triunfó, y empezamos la revolución de las conciencias. Al igual que la Cuarta Transformación, seguiremos cosechando victorias para nuestra patria, con amor y esperanza.

#AMLO #Política #ClaudiaSheinbaum",0,0,0,https://www.instagram.com/p/C844mNFRcFY/,0
2024-07-02 00:23:08,instagram,8 Columnas®,Claudia Sheinbaum,"👱‍♀️🇲🇽 | Claudia Sheinbaum, virtual presidenta electa, propuso que el 1 de julio sea recordado como el ""Día de la Revolución de las Conciencias"". 

Sheinbaum también destacó la necesidad de reformas al Poder Judicial.

📷Cred.: Especial 

No olvides visitar nuestro sitio web para conocer más! Link en la bio. 

#8columnas #ClaudiaSheinbaum #VirtualPresidenta",0,0,4,https://www.instagram.com/p/C85mmggNHJW/,4
