datetime,platform,username,candidate_name,text,comment_count,view_count,like_count,url,num_interaction
2024-06-01 00:02:55,instagram,AméricaEconomía,Claudia Sheinbaum,"Las probabilidades de que la candidata heredera de López Obrador llegue a ser la primera mujer presidenta de México este domingo son altísimas. También lo es la incertidumbre sonre cómo será su mandato.

📲 Revisa la nota completa en el link de nuestra biografía 🔗✅

#México #Elecciones #AMLO",0,0,4,https://www.instagram.com/p/C7pvpQ2uJmp/,4
2024-06-01 00:32:46,instagram,Cuestione,Claudia Sheinbaum,"“Hay investigaciones y evidencias que muestran que las mujeres en el lugar de trabajo son juzgadas por sus jefes y colegas con adjetivos que no están relacionados con el desempeño de su labor sino, por ejemplo, con adjetivos para juzgar su físico”, dice en entrevista a Cuestione Luz Karime Abadía, decana de la Facultad de Ciencias Económicas y Administrativas de la Universidad Javeriana de Colombia, y para la muestra Jesús Zambrano y el presidente de #México, Andrés Manuel @lopezobrador. 
Te contamos en nuestro portal.",0,0,31,https://www.instagram.com/p/C7pzDSJKR6l/,31
2024-06-01 00:36:59,instagram,GFLAC,Xóchitl Gálvez,"🤯 ESTAMOS A UN PAR DE DÍAS para definir con nuestro #VOTO el futuro de #México. 

🧐 Revisa bien las propuestas de @xochitlgalvez @claudia_shein y @alvarezmaynez para votar de manera informada.

📣 Por acá te dejamos nuestro análisis en materia climática: 👉 https://bit.ly/3V3SPbM (LINK EN BIO 🔗)

#Elecciones2024MX #MéxicoResiliente #TenemosUnPlan #AcciónClimática #TransiciónEnergética #EmpleosVerdes #SeguridadAlimentaria #SuelosVivos #CrisisHídrica #ContingenciaAmbiental #Energía #DerechosHumanos #Salud #AcuerdoDeEscazú #Agua",0,0,5,https://www.instagram.com/p/C7pzizEOYcS/,5
2024-06-01 00:36:59,instagram,GFLAC,Jorge Álvarez Máynez,"🤯 ESTAMOS A UN PAR DE DÍAS para definir con nuestro #VOTO el futuro de #México. 

🧐 Revisa bien las propuestas de @xochitlgalvez @claudia_shein y @alvarezmaynez para votar de manera informada.

📣 Por acá te dejamos nuestro análisis en materia climática: 👉 https://bit.ly/3V3SPbM (LINK EN BIO 🔗)

#Elecciones2024MX #MéxicoResiliente #TenemosUnPlan #AcciónClimática #TransiciónEnergética #EmpleosVerdes #SeguridadAlimentaria #SuelosVivos #CrisisHídrica #ContingenciaAmbiental #Energía #DerechosHumanos #Salud #AcuerdoDeEscazú #Agua",0,0,5,https://www.instagram.com/p/C7pzizEOYcS/,5
2024-06-01 01:23:16,instagram,KOKOROCAO ® | Dulces Internacionales,Claudia Sheinbaum,"¡DULCES GRATIS! 😳 😳

EN TU RUTA NO PUEDE FALTAR KOKOROCAO ✨

HAZ TU RUTA 📍

COYOACÁN 🤩

ROMA 🍪

LINDAVISTA ⭐️

REFORMA 🦖

POLANCO 🩷

¡TE ESPERAMOS! DE 11 AM A 9PM, LOS HORARIOS PUEDEN VARIAR. ⏰

#2dejunio #votar #voto #democracia #mexico #elecciones #sheinbaum #maynez #xochitl #ine",6,0,358,https://www.instagram.com/p/C7p41xUOfdI/,364
2024-06-01 01:23:16,instagram,KOKOROCAO ® | Dulces Internacionales,Xóchitl Gálvez,"¡DULCES GRATIS! 😳 😳

EN TU RUTA NO PUEDE FALTAR KOKOROCAO ✨

HAZ TU RUTA 📍

COYOACÁN 🤩

ROMA 🍪

LINDAVISTA ⭐️

REFORMA 🦖

POLANCO 🩷

¡TE ESPERAMOS! DE 11 AM A 9PM, LOS HORARIOS PUEDEN VARIAR. ⏰

#2dejunio #votar #voto #democracia #mexico #elecciones #sheinbaum #maynez #xochitl #ine",6,0,358,https://www.instagram.com/p/C7p41xUOfdI/,364
2024-06-01 02:31:30,instagram,SDPnoticias,Claudia Sheinbaum,"📢  Claudia Sheinbaum es “un enigma” a 2 días de las elecciones 2024 pero, según The Financial Times 🗞️ eso la convierte en “la persona de las noticias” de la semana

📰 De acuerdo con el medio británico 🇬🇧 la candidata de Morena 🟤 PT, Partido Verde es “un enigma” que no ha sido resuelto 🤔

📰 Asimismo, The Financial Times aseguró que Sheinbaum “rompería varias barreras” 🧱 al ser la primera mujer presidenta en la historia de México 🇲🇽 

🔷 Más info y videos 👉 SDPnoticias.com #SDPnoticias #sdp",178,0,826,https://www.instagram.com/p/C7qApjUOLLf/,1004
2024-06-01 02:47:05,instagram,Javier Zainos Cortes,Xóchitl Gálvez,"Jóvenes, quebramos la semana ya tarde 

Apenas alcance algo con esto de la ley seca. 
😂😂😂

Pero de que brindo por el triunfo de @XochitlGalvez, brindo por el triunfo.",0,0,0,https://www.instagram.com/p/C7qCbpLOKyy/,0
2024-06-01 03:00:18,instagram,Telemundo39,Claudia Sheinbaum,"México Decide.⁠
Norma García junto a nuestro equipo de Telemundo Texas viajara a la Ciudad de México para brindarle amplia cobertura de esta histórica contienda.⁠
⁠
México Decide. Acompáñanos a hacer historia. ⁠
Programa Especial, 2 de junio. 9:30PM ⁠
Streaming por nuestra aplicación, Roku, FireTV, Samsung TV+ XumoPlay, Freevee, Local Now, TCL y PlutoTV. ⁠
⁠
#Mexico #Texas #Frontera #Telemundo39 #EleccionesMexicanas #ClaudiaSheinbaum #XóchitlGálvez #JorgeÁlvarezMáynez #Presidenta⁠",0,0,30,https://www.instagram.com/p/C7qD7KENxmN/,30
2024-06-01 03:40:58,instagram,Gil Chavarin,Claudia Sheinbaum,"Este domingo no diré nada sólo habrá señales...
Para que lo vayan enmarcando
De México para el Mundo
#ClaudiaPresidenteDeMexico @Claudiashein @XochitlGalvez 
No tardan en caer las felicitaciones desde los lugares más recónditos del planeta
#HabemusPresidenta",1,0,2,https://www.instagram.com/p/C7qImRQu8Xn/,3
2024-06-01 03:40:58,instagram,Gil Chavarin,Xóchitl Gálvez,"Este domingo no diré nada sólo habrá señales...
Para que lo vayan enmarcando
De México para el Mundo
#ClaudiaPresidenteDeMexico @Claudiashein @XochitlGalvez 
No tardan en caer las felicitaciones desde los lugares más recónditos del planeta
#HabemusPresidenta",1,0,2,https://www.instagram.com/p/C7qImRQu8Xn/,3
2024-06-01 04:00:52,instagram,Proyecto Puente,Jorge Álvarez Máynez,🔴 #ÚltimaHora | @inemexico ordena a @vicentefoxq @claudioxgonzalezg y @alvarezmaynez retirar publicaciones en #X,7,0,97,https://www.instagram.com/p/C7qK4FltQ0X/,104
2024-06-01 10:23:51,instagram,Maria Hinojosa,Claudia Sheinbaum,Just the three of us. Three Mexicanas. One will be the next president. And even though Mexico has so many problems… I’m loving this moment and I’m actually loving this photograph. 🇲🇽🇲🇽🇲🇽🇲🇽🇲🇽🇲🇽🇲🇽🇲🇽,31,0,1038,https://www.instagram.com/p/C7q2tL5OtoE/,1069
2024-06-01 10:25:53,instagram,klima.neutral,Claudia Sheinbaum,"👩‍🔬Wusstet ihr, dass in Mexiko bald eine Klimawissenschaftlerin Präsidentin werden könnte? 

☝️Das klingt nach einer tollen Nachricht fürs Klima. Aber warum das nicht unbedingt so ist, seht ihr im Post. 

🌊Mexiko ist stark von der Klimakrise betroffen. Der steigende Meeresspiegel macht den Küstenregionen zu schaffen. Stürme und Trockenheit, aber auch Hitze gefährden Menschenleben und Ernten. 

Übrigens ist es sehr wahrscheinlich, dass Mexiko nach der Wahl zum ersten Mal von einer Frau geführt wird. Zwei der drei Kandidat:innen sind weiblich und Claudia Sheinbaum ist in den Umfragen weit vorn. 

#ClaudiaSheinbaum #Sheinbaum #Mexiko #PräsidentschaftsWahl #KlimaNeutral",14,0,1363,https://www.instagram.com/p/C7q28B1gFf1/,1377
2024-06-01 10:30:13,instagram,M Le magazine du Monde,Claudia Sheinbaum,"Le 2 juin, Claudia Sheinbaum devrait remporter une élection historique : celle qui verra s’affronter, pour la première fois dans le pays, deux femmes lors d’un scrutin présidentiel. L’ancienne maire de gauche de Mexico jouit de plus de vingt points d’avance dans les sondages sur sa principale concurrente, la sénatrice de droite Xóchitl Gálvez. Les Mexicaines, et même les Mexicains, en tirent une certaine fierté, alors que deux hommes s’apprêtent à s’affronter plus au nord, aux États-Unis. Le sujet du droit des femmes a d’ailleurs occupé une large part de la campagne. À 61 ans, Claudia Sheinbaum est portée par ses actions en faveur de celui-ci, dans un pays où le nombre de féminicides bat des records. Nous l’avons rencontrée, découvrez notre article sur lemonde.fr

_
📷 @_paufi #PourMLeMagazineDuMonde
✏️ @annevigna 
#mlemag #mlemonde #politics #feminisme #feminism #feminicide #mexique #mexico #claudiasheinbaum @claudia_shein",51,0,391,https://www.instagram.com/p/C7q3bzpBF1E/,442
