datetime,platform,username,candidate_name,text,comment_count,view_count,like_count,url,num_interaction
2024-03-01 00:10:17,instagram,Partido Morena,Claudia Sheinbaum,"Después de 5 meses de trabajo intenso al frente de la Coordinación de coaliciones y alianzas, tanto para lo local como lo federal, podemos decir que hemos dado buenos resultados para abonar al triunfo de la Dra. @Claudiashein y el #PlanC.

Ahora agradezco la confianza a la Dra. @Claudiashein de nombrarme como su enlace con mujeres en su equipo de campaña.

Será un privilegio acompañar a la próxima Presidenta de la República y hacer equipo con los siguientes compañeros y compañeras 👇🏽

@mario_delgado1: coordinador de la campaña

@adan_augusto: coordinador político

@tatclouthier: coordinadora de voceros

@marcelo.ebrard: coordinador de Vínculo con Organizaciones civiles y mexicanos en el exterior.

@gfnoronaoficial: coordinador de vínculos organizaciones sociales

@ricardomonreal: coordinador de enlace territorial

@velascom_: coordinador de alianzas

César Yáñez: coordinador de agenda y giras

@estheladamian: coordinadora de defensa del voto 

@rturrent: coordinadora del vínculo del diálogo por la transformación 

Olivia Salomón y Ana María Lomelí: Enlaces con el sector empresarial 

@oficialreginaorozco: Coordinadora de vínculo con organizaciones culturales 

Paulina Silva: enlace con medios de comunicación.",0,0,0,https://www.instagram.com/p/C383WvXrOhu/,521
2024-03-01 00:10:17,instagram,'@CitlaHM,Claudia Sheinbaum,"Después de 5 meses de trabajo intenso al frente de la Coordinación de coaliciones y alianzas, tanto para lo local como lo federal, podemos decir que hemos dado buenos resultados para abonar al triunfo de la Dra. @Claudiashein y el #PlanC.

Ahora agradezco la confianza a la Dra. @Claudiashein de nombrarme como su enlace con mujeres en su equipo de campaña.

Será un privilegio acompañar a la próxima Presidenta de la República y hacer equipo con los siguientes compañeros y compañeras 👇🏽

@mario_delgado1: coordinador de la campaña

@adan_augusto: coordinador político

@tatclouthier: coordinadora de voceros

@marcelo.ebrard: coordinador de Vínculo con Organizaciones civiles y mexicanos en el exterior.

@gfnoronaoficial: coordinador de vínculos organizaciones sociales

@ricardomonreal: coordinador de enlace territorial

@velascom_: coordinador de alianzas

César Yáñez: coordinador de agenda y giras

@estheladamian: coordinadora de defensa del voto 

@rturrent: coordinadora del vínculo del diálogo por la transformación 

Olivia Salomón y Ana María Lomelí: Enlaces con el sector empresarial 

@oficialreginaorozco: Coordinadora de vínculo con organizaciones culturales 

Paulina Silva: enlace con medios de comunicación.",0,0,0,https://www.instagram.com/p/C383WvXrOhu/,521
2024-03-01 00:21:16,instagram,Tomateros de Culiacán,Jorge Álvarez Máynez,"🌟𝐍𝐔𝐄𝐕𝐀 𝐂𝐎𝐋𝐄𝐂𝐂𝐈Ó𝐍🌟

Visita nuestras Sucursales📍 o Tienda en línea📲, conoce #LoNuevo y hazte de ellos antes que todos😎🙌🏼

¡Se único, se BeisShop Tomateros!🍅",0,0,0,https://www.instagram.com/p/C384nQTu_iF/,340
2024-03-01 00:24:14,instagram,Cuarto Poder,Claudia Sheinbaum,,0,0,0,https://www.instagram.com/p/C38486EsJci/,1
2024-03-01 00:24:34,instagram,RTN MEDIOS,Claudia Sheinbaum,"La candidata presidencial destacó que la estarán acompañado por su gira por el país, pero cada uno tiene una tarea específica

La candidata presidencial de la coalición ""Sigamos Haciendo Historia"", Claudia Sheinbaum, anunció que Marcelo Ebrard, Manuel Velasco y César Yáñez se suma a su equipo de campaña.

""Hoy quiero presentarles el ‘equipazo’ ganador del 2 de junio de 2024, como ven hay una enorme unidad en nuestro movimiento están aquí quienes participaron en la encuesta para la coordinación nacional de nuestro movimiento y mujeres de primera también que son parte de este equipo de la coordinación de campaña"", destacó.

Agregó: ""Este es el equipo que me va a acompañar estos tres meses en la coordinación de la campaña, tenemos reuniones permanentes, estamos todos integrados"".

FUENTE: EL UNIVERSAL.

#RTNmedios",0,0,0,https://www.instagram.com/p/C384_aHrnDe/,4
2024-03-01 00:26:39,instagram,Chismecito Político,Claudia Sheinbaum,"Así los inicios de campaña, ¿asistirás a alguno?",0,0,0,https://www.instagram.com/p/C385OqKuEi5/,1301
2024-03-01 00:31:36,instagram,Rompeviento TV,Claudia Sheinbaum,"🔥#Entérate #LasPeriodistas

✅ El #juez que absolvió al abusador de una niña de 4 años
✅ El arranque de las campañas; las entrevistas a #Sheinbaum
✅ ⁠La inmolación del marino de los #EE.UU, #AaronBushnell

#Infórmate👇
https://youtu.be/DfrN2GbJ-mM",0,0,0,https://www.instagram.com/p/C385yfzIrES/,4
2024-03-01 00:34:55,instagram,Edna Díaz Acevedo,Xóchitl Gálvez,"Querida candidata @xochitlgalvez🤞🏼, aprovecho para agradecerte la invitación a tu cumpleaños 6️⃣1️⃣, la pasamos increíble y llenos de buena vibra...🎉🥳

A unas cuantas horas del inicio de tu campaña, te deseo éxito, fortaleza y bendiciones. 

Agradezco tu confianza para ser parte de tu equipo y segura estoy, que al igual que millones de mexicanas y mexicanos, estamos del lado correcto de la historia.

#PorMéxico
#PorMichoacán",0,0,0,https://www.instagram.com/p/C386LJauoyZ/,97
2024-03-01 00:40:09,instagram,El Sol de México ☀️,Claudia Sheinbaum,"🔴👤Claudia Sheinbaum presenta ""equipazo"" de campaña, entre ellos destacan quienes eran las corcholatas Adán Augusto López, Ricardo Monreal y Marcelo Ebrard. 

🔗 https://solde.mx/430XcYx",0,0,0,https://www.instagram.com/p/C386xdIuVKv/,73
2024-03-01 00:48:49,instagram,El Bajío mx,Claudia Sheinbaum,"#ELECCIONES2024 La Comisión de Quejas y Denuncias del Instituto Nacional Electoral (INE) ordenó bajar tres promocionales para el inicio de campaña de Claudia Sheinbaum, por no identificarse como candidata presidencial de la coalición “Sigamos Haciendo Historia”, sino que sólo se anuncia como “Claudia Sheinbaum, presidenta. Morena”, dando por hecho un triunfo en las elecciones del 2 de junio.

Por unanimidad, la Comisión determinó que MORENA  tiene tres horas para modificar el spot, que está programado para salir el 1 y 2 de marzo en radio y televisión.",0,0,0,https://www.instagram.com/p/C387xBbPsae/,13
